"This sheet contains items that were originally from ItemsOfInterest and were going to be part of the corpus, but turned out to be duplicates, incorrect, weird, confusing, or we couldn't get the items themselves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalogued (audio file is on musiclabnas already),"documentation (liner notes, images, etc, on musiclabnas)",who,HARVARD .WAV,OTHER .WAV,HARVARD CD,OTHER CD,DIRECT STREAM,MULTIPLE SONGS ON SAME TRACK,ERROR (duplicate or misspelling),LP,ONLY OPTION IS FOR HARVARD TO DIGITIZE IT,REQUESTED THRU ILL,,,,,judy_notes,judy_url (use this only if url_recode is no longer the right url),old_notes,filename,song_name,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,wideonly,deeponly,both,comments,type,family_name,language,dialect,level,culture listed?,culture,culture standardized,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,modern rendition; DELETE,DELETE,"Looks like it's orchestral. Tracked down CD 7479 from another song (""Passo pel prat""), but can not confirm that this CD has a song called ""Lullaby"" on it. Closest is ""pour l'enfant"". Compare with gofileme song.",NHS2-1709.wav,LULLABY,16,CD purchase,https://www.amazon.com/Canteloube-Songs-Auvergne-Chants-DAuvergne/dp/B00000DSED/ref=sr_1_14?keywords=Canteloube%3A+Chants+d%27Auvergne&qid=1579631371&s=music&sr=1-14,,$15.40,,http://gofile.me/3T2hs/OuqnXT3KC,"WorldCat, Mcgill Music Library",0,1,0,1,0,,Lullaby,#REF!,stan1290,,#REF!,,Auvergne,French,Western Europe,ital1284,#REF!,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby //CD 7479 MCGILL MUSIC LIBRARY; INFO IN LINER NOTES//,NA,NA,,Yes,6,Yes,,6/9/18 12:25,KVL
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,modern rendition; DELETE,DELETE,"Looks like it's orchestral. Can not confirm link is to correct album, but fairly certain",NHS2-1711.wav,The Cuckoo,19,CD purchase,https://www.amazon.com/Canteloube-Songs-Auvergne-Chants-DAuvergne/dp/B00000DSED/ref=sr_1_14?keywords=Canteloube%3A+Chants+d%27Auvergne&qid=1579631371&s=music&sr=1-14,,$15.40,,http://gofile.me/3T2hs/X4Eh0c606,"WorldCat, Mcgill Music library",0,1,0,1,0,,Praise,#REF!,stan1290,,#REF!,,Auvergne,French,Western Europe,ital1284,#REF!,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,The lyrics made it clear to me what type of song this is,NA,NA,"""The cuckoo is a lovely bird, there is nothing more beautiful than a cuckoo when it is singing [... ] tell me? Haven't you heard the cuckoo sing?",,Yes,6,Yes,,6/9/18 12:31,KVL
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,modern rendition; DELETE,DELETE,Looks like it's orchestral.,NHS2-1704.wav,Passo Pel Prat,NA,CD purchase,https://www.discogs.com/sell/list?master_id=427492&ev=mb&format=CD,,$15.00,,http://gofile.me/3T2hs/Fgfwtj7h4,Mcgill Music library,0,1,0,1,0,,Love,#REF!,stan1290,,#REF!,,Auvergne,French,Western Europe,ital1284,#REF!,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,The lyrics made it clear to me what type of song this is,NA,NA,"""""[...] we will talk, the two of us. Your love for me, pretty one is what brings me happiness"" //CD 7479 AT MCGILL MUSIC LIBRARY; INFO IN LINER NOTES//",,Yes,5,Yes,,5/9/18 12:22,KVL
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,repeat of 1479,NHS2-1480.wav,Tisankhe lero,NA,Direct download (non-Folkways,,,,,http://greenstone.ilam.ru.ac.za/collect/ilam/index/assoc/D9903.dir/TR190-09.mp3,ILAM,0,1,0,1,0,,Play,#REF!,nyan1308,,#REF!,,Nyanja,Nyanja,Southern Africa,bant1294,#REF!,nucl1395,nyan1308,no,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Singing games ; Indigenous Music ; Folk ; Clapping //ILAM IDENTIFIER TR190-09, KEYWORDS//","Translated English title - ""Choose now"". Further details refer to ILAM field card number: DX - 12a. //ILAM IDENTIFIER TR190-09, DESCRIPTION//",NA,,Yes,6,Yes,,5/22/2018 12:13:09,AMB
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,repeat of 0355,NHS2-0354.wav,Lullaby,"Disc 1, Track 32",Folkways track download,https://folkways.si.edu/louisa-sera-chompi/lullaby/american-indian-world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/louisa-sera-chompi/lullaby/american-indian-world/music/track/smithsonian,"Global Jukebox, Smithsonian Folkways",1,0,1,0,0,,Lullaby,#REF!,cusc1236,,#REF!,,Runa; Q'ero; Quechua,Q'ero,Central Andes,,#REF!,.,quec1382,no,.,.,#N/A,No secondary function,No,http://www.folkways.si.edu/TrackDetails.aspx?itemid=28670,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Lullaby (//CODING ID 2495 IN GLOBAL JUKEBOX IN THE SONG TITLE FIELD),"Lullaby; chi chi chi wawa (baby), that you might learn to work the potatoes, young one (//CODING ID 2495 IN GLOBAL JUKEBOX IN THE DESCRIPTION FIELD)",NA,,Yes,6,Yes,,8/17/2018 23:45:56,AMM
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,repeat of 0343,NHS2-0367.wav,Lullaby (One Woman),"Disc 1, Track 17",Folkways track download,http://www.folkways.si.edu/TrackDetails.aspx?itemid=33643,,$0.99,,https://folkways.si.edu/lullaby-one-woman/american-indian-world/music/track/smithsonian,Global Jukebox,1,0,1,0,0,,Lullaby,Aymaran,tupe1234,,#REF!,,Aymara,Aymara,Central Andes,,#REF!,ayma1253,ayma1253,yes,yes,yes,this is as specific as I can go without guessing ,No secondary function,No,http://www.folkways.si.edu/TrackDetails.aspx?itemid=33643,,,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is",Lullaby,"Lullaby; lyrics: If your father is getting drunk he'll come and beat us up, so go to sleep my little girl, I'll cover you with my blanket, go to sleep //GLOBAL JUKEBOX//","If your father is getting drunk he'll come and beat us up, so go to sleep my little girl, I'll cover you with my blanket, go to sleep",,Yes,6,Yes,,8/7/18 15:40,AMM
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,SPOKEN WORD / POETRY; DELETE,DELETE,appears to be poetry,NHS2-0435.wav,Spells and Charms: Flower Feast Song (Aztec),Track 10,Folkways track download,https://folkways.si.edu/spells-and-charms-flower-feast-song-aztec/poetry/track/smithsonian,,$0.99,,https://folkways.si.edu/spells-and-charms-flower-feast-song-aztec/poetry/track/smithsonian,Smithsonian Folkways,1,1,0,0,1,uto,Praise,#REF!,azte1234,,#REF!,,Aztecs,Aztec,Central Mexico,,#REF!,clas1250,azte1237,no,unknown,unknown,nci,No secondary function,No,,,,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is","Praise Song//FOLKWAYS CATALOGUE # FW09802_110, LINER NOTES PAGE 4-5//",NA,"I seek flowers. I offer flowers. I arrange flowers. I thread a flower. I make flowers. I form them to be extending, uneven rounded, round bouquets of flowers //FOLKWAYS CATALOGUE # FW09802_110, LINER NOTES PAGE 4-5//",Link to Linear Notes: https://folkways-media.si.edu/liner_notes/folkways/FW09802.pdf,Yes,6,Yes,,10/7/18 17:43,JAY
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,NO VOCALS; DELETE,DELETE,"instrumental only, not sung",NHS2-0439.wav,Ayakachmitotia'-Rattle Dances: Koatl,Track 5,Folkways track download,https://folkways.si.edu/aztec-violinist-guitarist-male-dancers-with-rattles/ayakachmitotia-rattle-dances-koatl/american-indian-sacred-world/music/track/smithsonian,,$1.49,,https://folkways.si.edu/aztec-violinist-guitarist-male-dancers-with-rattles/ayakachmitotia-rattle-dances-koatl/american-indian-sacred-world/music/track/smithsonian,Smithsonian Folkways,0,1,0,1,0,,Dance,#REF!,clas1250,,#REF!,,Aztecs,Aztec,Central Mexico,,#REF!,clas1250,azte1234,no,yes,yes,nci,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance Song//FOLKWAYS CATALOGUE # FW04358_202, LINER NOTES PAGE 7//","Koatl means snake in Nahuatl and is unusual in format from the other dances recorded here since the two parallel lines, the hallmark of the rattIe dances, are combined into one long line that symbolically imitates the movements of a snake as it proceeds back and forth in front of the image of Tonantsi//FOLKWAYS CATALOGUE # FW04358_202, LINER NOTES PAGE 7//",NA,Link to Linear Notes: https://folkways-media.si.edu/liner_notes/folkways/FW04358.pdf,,1,Yes,Only subsection of song (30 seconds) is available,6/7/18 18:51,JAY
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,NO VOCALS; DELETE,DELETE,"instrumental only, not sung",NHS2-0440.wav,Ayakachmitotia'-Rattle Dances: Ehtokani',Track 6,Folkways track download,https://folkways.si.edu/aztec-violinist-guitarist-male-dancers-with-rattles/ayakachmitotia-rattle-dances-ehtokani/american-indian-sacred-world/music/track/smithsonian,,$1.49,,https://folkways.si.edu/aztec-violinist-guitarist-male-dancers-with-rattles/ayakachmitotia-rattle-dances-ehtokani/american-indian-sacred-world/music/track/smithsonian,Smithsonian Folkways,0,1,0,1,0,,Dance,#REF!,clas1250,,#REF!,,Aztecs,Aztec,Central Mexico,,#REF!,clas1250,azte1234,no,yes,yes,nci,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance Song//FOLKWAYS CATALOGUE # FW04358_203, LINER NOTES PAGE 7//","Ehtokani'is more typical of the rattle dances in general//FOLKWAYS CATALOGUE # FW04358_203, LINER NOTES PAGE 7//",NA,Link to Linear Notes: https://folkways-media.si.edu/liner_notes/folkways/FW04358.pdf,,1,Yes,Only subsection of song (30 seconds) is available,6/7/18 18:56,JAY
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,duplicate,NHS2-0527.wav,Chang Choon Pool Lo Chi Kog,NA,Folkways track download,https://folkways.si.edu/chang-choon-pool-lo-chi-kog-ah-ahk/world/music/track/smithsonian,,$0.99,,http://media.theglobaljukebox.org/audio/T5528R02.mp3,"Global Jukebox, Smithsonian Folkways",,,0,0,0,repeat of above,Praise,#REF!,kore1280,,#REF!,,Korean,Korean,East Asia,,#REF!,kore1280,kore1280,yes,yes,yes,kor,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Court music; song about leadership; praise song //CODING ID 8018 ON GLOBAL JUKEBOX,Court music honoring King Sejong of the Ye Dynasty //CODING ID 8018 ON GLOBAL JUKEBOX,NA //CODING ID 8018 ON GLOBAL JUKEBOX,,Yes,5,Yes,,2/7/18 14:44,MAK
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,"Duplicate; can't find track, possibly part of NHS2-0736?",NHS2-0737.wav,"Two old men singing, later in the same procession",102,Folkways track download,,,,"Duplicate of row above song ""Two Old Men Singing in Procession""",https://folkways.si.edu/music-of-guatemala-vol-2/american-indian-latin-world/album/smithsonian,Smithsonian Folkways,1,0,1,0,0,,Procession,#REF!,ixil1251,,#REF!,,Ixil (not in HRAF),Ixil,Maya Area,,#REF!,ixil1251,ixil1251,yes,yes,yes,ixl,Fiesta de Nuestra Senora de Los Angeles,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Two old men singing, later in the same procession. //CATALOG NUMBER FW04213 / FE 4213 IN SMITHSONIAN FOLKWAYS, RELEVANT TEXT IN TRACK TITLE//","Circumstance of recording: Fiesta de Nuestra Senora De Los Angeles //CATALOG NUMBER FW04213 / FE 4213 IN SMITHSONIAN FOLKWAYS, RELEVANT TEXT IN LINER NOTES//",NA,,Yes,6,Yes,,5/9/18 23:39,SAT
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,"repeat of ""Song of Valor"" (checked in liner notes)",NHS2-0900.wav,Rusho,NA,Folkways track download,https://folkways.si.edu/song-of-valor/islamica-world/music/track/smithsonian,,$0.99,,http://media.theglobaljukebox.org/audio/T5482R37.mp3,"Global Jukebox, Smithsonian Folkways",0,1,0,1,0,,Story,#REF!,nort2641,,#REF!,,Azeri Kurds,Kurdish,Middle East,indo1320,#REF!,kurd1259,nort2697,no,no,no,kur,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Topical song // CODING ID 2529 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//","Description: Song describes Rusho, a strong man well known for valor // CODING ID 2529 IN GLOBAL JUKEBOX //",NA,,Yes,6,Yes,,8/6/18 15:38,SHJ
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,repeat,NHS2-0938.wav,Excerpt from shamanic healing ritual,"Disc 1, Track 25",Folkways track download,https://folkways.si.edu/alexander-davakai/excerpt-from-shamanic-healing-ritual/world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/alexander-davakai/excerpt-from-shamanic-healing-ritual/world/music/track/smithsonian,Smithsonian Folkways,1,0,1,0,0,,Healing,#REF!,tuvi1240,,#REF!,,Tuva (not in HRAF),Tuvan,North Asia,,#REF!,tuvi1240,tuvi1240,yes,yes,yes,tyv,No secondary function,No,,,,The song is identified as such in its title or label,NA,NA,NA,,Yes,4,Yes,Only very short vocals during the beginning and end of the excerpt,4/29/2018 8:52:47,PKH
0,0,JSL,0,0,0,0,0,0,0,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,"repeat of ""Squash dance""",NHS2-0983.wav,Huichol - Squash Dance,Track 10,Folkways track download,https://folkways.si.edu/huichol-singers-drummer/huichol-squash-dance/american-indian-world/music/track/smithsonian,,$0.99,,http://www.worldcat.org/oclc/862959234,Smithsonian Folkways,0,1,0,1,0,,Work,#REF!,huic1243,,#REF!,,Huichol,Huichol,Northern Mexico,,#REF!,huic1243,huic1243,yes,yes,yes,hch,Dance,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Singing and dancing, an important fiesta to celebrate the ripening of the fruits' //IN LINER NOTES FROM PDF PAGE 6: https://folkways-media.si.edu/liner_notes/folkways/FW04413.pdf //",NA,,Yes,3,Yes,,7/23/2018 18:41:14,LOT
0,0,JSL,0,0,0,0,0,0,1,0,0,,,,,,THIS IS A DUPLICATE; DELETE,DELETE,repeat ,NHS2-1051.wav,El Patio de Mi casa,"Side 1, Band 7a",Folkways track download,https://folkways.si.edu/el-patio-de-mi-casa/tengo-una-muneca/childrens-latin-world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/childrens-songs-and-games-from-ecuador-mexico-and-puerto-rico/latin-world/music/album/smithsonian,Smithsonian Folkways,0,1,0,1,0,,Play,#REF!,stan1288,,#REF!,,Ecuador,Ecuadoran,Northwestern South America,ital1284,#REF!,stan1288,stan1288,yes,yes,yes,spa,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""El Patio de Mi Casa""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways","""Circle Game""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways",NA,,Yes,6,Yes,,11/13/2018 14:30:08,NLC
