catalogued (audio file is on musiclabnas already),"documentation (liner notes, images, etc, on musiclabnas)",who,HARVARD .WAV,OTHER .WAV,HARVARD CD,OTHER CD,DIRECT STREAM,MULTIPLE SONGS ON SAME TRACK,LP,REQUESTED THRU ILL,ONLY OPTION IS FOR HARVARD TO DIGITIZE IT,CAN'T FIND. ASK HARVARD LIBRARY,ASK HARVARD FOR HELP,GET CD WHEN LOEB REOPENS / WAIT FOR ILL CD OR LP / ASK FOR DIGITIZATION,TO DELETE,status,judy_notes,judy_url (use this only if url_recode is no longer the right url),old_notes,filename,song_name,region,type,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,wideonly,deeponly,both,comments,family_name,language,dialect,level,culture listed?,culture,culture standardized,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
1,1,JSL,0,0,1,1,0,0,0,1,0,0,0,0,0,,got from ILL CD,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212051164150003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Songs%20from%20the%20Kimberleys",interlib loan,NHS2-0128.wav,Balganya,Australia,Dance,5,Various archives/libraries,,,,Appears to be at the University of Wellington under a different worldcat link: https://www.worldcat.org/title/songs-from-the-kimberleys/oclc/222310624,http://www.worldcat.org/title/songs-from-the-kimberleys-aboriginal-music-from-the-kimberley-region-of-western-australia/oclc/767510325&referer=brief_results,"WorldCat, AIATSIS",1,0,1,0,0,,#REF!,wuna1249,,#REF!,,Wunambal,Wunambal,,#REF!,wuna1249,stan1293,no,no,no,wub,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Dance songs accompanied by paired sticks are called balga by the Wunambul and Ungarinyin and balgan, balganya or djuan-banya by the Worora //PAGE 5, COMPANION BOOK TO COMPACT DISC, AIATSIS//",NA,Companion book: https://aiatsis.gov.au/sites/default/files/docs/asp/song-from-the-kimberleys.pdf,,,No,,6/4/18 17:54,DWL
1,1,JSL,0,0,0,1,0,0,0,1,0,0,0,0,0,,got from ILL CD,https://www.worldcat.org/title/authentic-aboriginal-music-music-from-the-wandjina-people/oclc/811244099&referer=brief_results,purchase,NHS2-0129.wav,Balga - Spirit Man,Australia,Story,Track 25,CD purchase,https://www.discogs.com/sell/release/12414906?ev=rb,,$14.05,Cost for Amazon purchase (cd + shipping),https://search-alexanderstreet-com.ezp-prod1.hul.harvard.edu/view/work/bibliographic_entity%7Crecorded_cd%7C511039,Garland Encyclopedia of World Music,1,0,1,0,0,,#REF!,wuna1249,,#REF!,,Wunambul Tribe,Wunambal,,#REF!,wuna1249,.,no,.,.,wub,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The Balga and Djunba songs are distinguished by the distinctive intertwining of male and female vocal harmonies, always underpinned by the rhythm of the clap sticks. The songs all have a story to tell; some light-hearted, some serious, some of contemporary contents, other passed through down through generations. //LINER NOTES PAGE 2, ALEXANDER STREET//",NA,,Yes,6,Yes,,4/13/2018 13:02:09,DWL
1,1,JSL,0,0,0,1,0,0,0,1,0,0,0,0,0,,got from ILL CD,https://www.worldcat.org/title/authentic-aboriginal-music-music-from-the-wandjina-people/oclc/811244099&referer=brief_results,purchase,NHS2-0130.wav,Moraburr - Wrong Road,Australia,Story,Track 30,CD purchase,https://www.discogs.com/sell/item/856198733,,$14.05,Cost for Amazon purchase (cd + shipping),https://search-alexanderstreet-com.ezp-prod1.hul.harvard.edu/view/work/bibliographic_entity%7Crecorded_cd%7C511039,Garland Encyclopedia of World Music,1,0,1,0,0,,#REF!,wuna1249,,#REF!,,Wunambul Tribe,Wunambal,,#REF!,wuna1249,.,no,.,.,wub,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The Moraburr songs are uncomplicated ballads, prominently featuring stories of the sea //LINER NOTES PAGE 2, ALEXANDER STREET//",NA,,Yes,6,Yes,,4/13/2018 13:09:51,DWL
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0131.wav,Wadamiri,Australia,Dance,"Side 1, Track 5",NHS 1.0,,,,,http://www.worldcat.org/oclc/1061508,NHS 1.0,1,0,1,0,0,,#REF!,yuul1239,,#REF!,,Yolngu,Yolngu,,#REF!,yuul1239,stan1293,no,no,no,,,No,,,,,5,5,5,,,,,,1/2/18 17:51,SAM
1,1,JSL,0,0,1,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5589R10.mp3,Available to buy on Amazon but over budget - switched to Loeb lib. Digitize.,NHS2-0133.wav,The Fairy Lullaby,British Isles,Lullaby,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040001210003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,ireland%20alan%20lomax&offset=0",cd,$21.98,,http://media.theglobaljukebox.org/audio/T5589R10.mp3,Global Jukebox,1,1,0,0,1,,#REF!,iris1253,,#REF!,,"Rural Irish; culture also named in Jukebox as ""Cork""",Irish,celt1248,#REF!,iris1253,iris1253,yes,yes,yes,gle,No secondary function,No,,,,The song is identified as such in its title or label,"""The Fairy Lullaby"" //CODING ID 9311 IN GLOBAL JUKEBOX//","""tells of a woman seeking rescue from her fairy captors"" //CODING ID 9311 IN GLOBAL JUKEBOX//",NA,Metadata: https://theglobaljukebox.org/?share=Eireanneach-T5589R10#,Yes,6,Yes,,11/6/18 20:44,WAU
1,1,JSL,0,0,1,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5589R14.mp3,Digitize after chaos,NHS2-0134.wav,Keen for a Dead Child,British Isles,Mourning,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040001210003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,ireland%20alan%20lomax&offset=0",cd,$21.98,,https://theglobaljukebox.org/?share=Donegal-T5589R14,Global Jukebox,0,1,0,1,0,,#REF!,iris1253,,#REF!,,"Rural Irish, Donegal",Irish,celt1248,#REF!,iris1253,iris1253,yes,yes,yes,gle,Lament,No,,,,The song is identified as such in its title or label,Lament; mourning song; for the dead //CODING ID 9378 GLOBAL JUKEBOX RELEVANT TEXT IS IN THE DESCRIPTION FIELD//,NA,NA,,Yes,6,Yes,,9/15/2018 11:58:32,REH
1,1,JSL,0,1,0,0,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5591R14.mp3,Digitize after chaos,NHS2-0135.wav,The Cruel Mother,British Isles,Story,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212043780710003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,The%20Child%20Ballads&offset=0",LP,$28.95,,https://theglobaljukebox.org/?share=Leitrim-T5591R14,Global Jukebox,0,1,0,1,0,,#REF!,iris1253,,#REF!,,Irish,Irish,celt1248,#REF!,iris1253,iris1253,yes,yes,yes,gle,No secondary function,No,,,,The song is identified as such in its title or label,Ballad; murder ballad //CODING ID 790 GLOBAL JUKEBOX RELAVENT INFO IN TITLE FIELD//,NA,NA,,Yes,5,Yes,,9/15/2018 10:05:10,REH
1,1,JSL,0,0,1,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5589R12.mp3,Digitize after chaos,NHS2-0136.wav,Innsin Bhéil Átha'n Ghaorthaidh,British Isles,Story,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040001210003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,ireland%20alan%20lomax&offset=0",cd,$18.99,,https://theglobaljukebox.org/?share=Cork-T5589R12,Global Jukebox,0,1,0,1,0,,#REF!,iris1253,,#REF!,,Rural Irish,Irish,celt1248,#REF!,iris1253,iris1253,yes,yes,yes,gle,Bardic poem,No,,,,The song is identified as such in its title or label,Innsin Bhéil Átha'n Ghaorthaidh//CODING ID 9321IN GLOBAL JUKEBOX//,NA,NA,,Yes,6,Yes,,9/14/2018 9:42:25,REH
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0137.wav,The False Knight on the Road,British Isles,Story,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212043780710003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,The%20Folk%20Songs%20of%20Britain%20the%20child%20ballads&offset=0",LP,$0.00,only available as vinyl https://www.discogs.com/sell/release/4994450?ev=rb ,https://theglobaljukebox.org/?share=Ulster-T5465R04,Global Jukebox,0,1,0,1,0,,#REF!,scot1243,ulst1239,#REF!,,Ulster (not listed in eHRAF),Scottish,germ1287,#REF!,ulst1239,iris1253,no,no,yes,,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Fisherman's song, narrative song, spirit song; story song //CODING ID 789 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","Story passed on by old fishermen; tells of a knight who is an emissary of the devil, a specter that inhabits the road and kills any who encounter him; song dialogue is a test of a child to see if he is prepared for the ultimate end //CODING ID 789 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,6/17/2018 16:21:19,WAU
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0138.wav,The Auld Beggarman,British Isles,Story,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212043781760003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,The%20Folk%20Songs%20Of%20Britain&offset=0",LP,$0.00,"only available as vinyl. https://www.ebay.com/i/254260261646?chn=ps&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&itemid=254260261646&targetid=539174388435&device=c&mktype=pla&googleloc=9001999&poi=&campaignid=6470648147&mkgroupid=74956728902&rlsatarget=pla-539174388435&abcId=1139336&merchantid=6296724&gclid=EAIaIQobChMI2e3Zg_Ko5gIVUT0MCh1OjgN1EAYYASABEgJH6_D_BwE Also in harvard library: https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212043781760003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,The%20Folk%20Songs%20Of%20Britain&offset=0",https://theglobaljukebox.org/?share=Ulster-T5464R63m,Global Jukebox,0,1,0,1,0,,#REF!,scot1243,ulst1239,#REF!,,Ulster (not listed on eHRAF),Scottish,germ1287,#REF!,ulst1239,iris1253,no,no,yes,,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Ballad; narrative song //CODING ID 791 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","""Tale of the beggarman who turns out to be an aristocrat or, in some versions, the king himself in disguise"" //CODING ID 791 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,6/15/2018 19:55:59,WAU
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0139.wav,The Jug of Punch,British Isles,Work,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212043779870003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,jack%20of%20all%20trades%20folk&offset=0",LP,$0.00,"only available as vinyl. https://www.discogs.com/sell/release/3046423?ev=rb Also in harvard library: https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212043779870003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,jack%20of%20all%20trades%20folk&offset=0",https://theglobaljukebox.org/?share=Ulster-T9514R17,Global Jukebox,0,1,0,1,0,,#REF!,scot1243,ulst1239,#REF!,,Ulster,Scottish,germ1287,#REF!,ulst1239,iris1253,no,no,yes,,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Work song //CODING ID 9331 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","""Song of the Scots linen weavers"" //CODING ID 9331 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,6/15/2018 20:03:11,WAU
1,1,JSL,1,0,0,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5590R14.mp3,purchase,NHS2-0140.wav,The Reel of Tulloch; Mrs. Maclead of Raasay,British Isles,Dance,NA,CD purchase,https://www.discogs.com/sell/list?master_id=563554&ev=mb&format=CD,,$12.00,,https://theglobaljukebox.org/?share=Barra-T5590R14,Global Jukebox,0,1,0,1,0,,#REF!,scot1245,,#REF!,,"Barra, Barraigh",Scottish,celt1248,#REF!,stan1293,scot1245,no,no,yes,eng,No secondary function,No,,,,The song is identified as such in its title or label,"Reel and hornpipe //GLOBAL JUKEBOX, CODING ID 9400, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,Yes,6,Yes,,10/15/2018 10:49:10,REH
1,1,JSL,1,0,0,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5590R10.mp3,purchase,NHS2-0141.wav,Larach do thacaidean,British Isles,Dance,NA,CD purchase,https://www.discogs.com/sell/list?master_id=563554&ev=mb&format=CD,,$12.00,,https://theglobaljukebox.org/?share=Hebrides-T5590R10,Global Jukebox,0,1,0,1,0,,#REF!,scot1245,,#REF!,,Hebrides; Innse Gall,Scottish,celt1248,#REF!,scot1245,scot1245,yes,yes,yes,gla,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","dance song (puirt a beul) //CODING ID 550 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","""a dance song sung without instruments; mouth music; The Imprint of Your High Heels"" //CODING 550 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,6/28/2018 13:32:44,WAU
1,1,JSL,1,0,0,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5590R04.mp3,purchase,NHS2-0142.wav,Tail Toddle,British Isles,Dance,NA,CD purchase,https://www.discogs.com/sell/list?master_id=563554&ev=mb&format=CD,,$12.00,,https://theglobaljukebox.org/?share=Perthshire-T5590R04,Global Jukebox,0,1,0,1,0,,#REF!,scot1245,,#REF!,,Perthshire,Scottish,celt1248,#REF!,stan1293,scot1245,no,no,yes,eng,No secondary function,No,,,,The song is identified as such in its title or label,"Dance, Diddling Song //GLOBAL JUKEBOX, CODING ID 2305, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,Yes,6,Yes,,10/15/2018 10:13:45,REH
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0143.wav,Puirt-a-beul,British Isles,Dance,"Side 1, Track 3",NHS 1.0,,,,,http://www.worldcat.org/oclc/74386532,NHS 1.0,0,1,0,1,0,,#REF!,scot1245,,#REF!,,Highland Scots,Scottish,celt1248,#REF!,scot1245,stan1293,no,no,yes,gla,,No,,,,,4,4,NA,,,,,,1/2/18 17:49,CMB
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0144.wav,S chunna mise mo leannan,British Isles,Love,Track 17,NHS 1.0,,,,,http://www.worldcat.org/oclc/65178247,NHS 1.0,0,1,0,1,0,,#REF!,scot1245,,#REF!,,Highland Scots,Scottish,celt1248,#REF!,scot1245,scot1245,yes,yes,yes,gla,,No,,,,,16,4,16-17,,,,,,1/2/18 18:00,SAM
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0145.wav,Ho ho vo laidi bheag,British Isles,Lullaby,"Side 2, Track 3",NHS 1.0,,,,,http://www.worldcat.org/oclc/74386532,NHS 1.0,0,1,0,1,0,,#REF!,scot1245,,#REF!,,Highland Scots,Scottish,celt1248,#REF!,scot1245,scot1245,yes,yes,yes,gla,,No,,,,,5,5,NA,,,,,,1/2/18 17:23,SDA
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0146.wav,Moladh Na Lanndaidh,British Isles,Praise,NA,Folkways track download,https://folkways.si.edu/tom-angus-macdonald/moladh-na-lanndaidh-in-praise-of-islay/celtic-world/music/track/smithsonian,,$0.99,,https://theglobaljukebox.org/?share=Hebrides-T5468R18,Global Jukebox,1,1,0,0,1,IE,#REF!,scot1245,,#REF!,,Hebrides,Scottish,celt1248,#REF!,scot1245,scot1245,yes,yes,yes,gla,This song is used to tell about the beauty of the singer's home,No,http://www.folkways.si.edu/TrackDetails.aspx?itemid=14614,,,The song is identified as such in its title or label,"PRAISE SONG //GLOBAL JUKEBOX CODING ID 585, RELEVENT TEXT FOUND IN DESCRIPTION FIELD//",NA,NA,,Yes,6,Yes,,12/17/2018 10:15:25,REH
1,1,JSL,1,0,0,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5590R08.mp3,purchase,NHS2-0147.wav,"Tha mulad, tha mulad",British Isles,Work,NA,CD purchase,https://www.discogs.com/sell/list?master_id=563554&ev=mb&format=CD,,$12.00,,https://theglobaljukebox.org/?share=Hebrides-T5590R08,Global Jukebox,1,1,0,0,1,IE,#REF!,scot1245,,#REF!,,Scottish,Scottish,celt1248,#REF!,scot1245,scot1245,yes,yes,yes,gla,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","work song; waulking song // CODING ID 547 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","""There is a Sorrow; Hebridean waulking song"" //CODING ID 547 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,6/28/2018 13:23:42,WAU
1,1,JSL,0,1,0,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5587R09.mp3,purchase,NHS2-0148.wav,Died For Love,British Isles,Love,NA,CD purchase,https://www.discogs.com/sell/release/7107827?ev=rb,,$9.00,plus shipping,https://theglobaljukebox.org/?share=Bristol-T5587R09,Global Jukebox,0,1,0,1,0,,#REF!,stan1293,,#REF!,,Bristol; not listed in eHRAF,English,germ1287,#REF!,stan1293,stan1293,yes,yes,yes,eng,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Love song //CODING ID 9101 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","""A very common English love song"" //CODING ID 9101 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,6/15/2018 19:41:16,WAU
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"LP name"": The Folksongs of Britain Vol I: Songs of Courtship",NHS2-0149.wav,Sweet Primroses,British Isles,Love,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212022971680003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Songs%20of%20Courtship&offset=0",LP,,Also available to buy at: https://www.discogs.com/sell/release/1735685?ev=rb,https://theglobaljukebox.org/?share=Sussex-T5465R38,Global Jukebox,0,1,0,1,0,,#REF!,stan1293,,#REF!,,English,English,germ1287,#REF!,stan1293,stan1293,yes,yes,yes,eng,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Love song //CODING ID 561 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//",NA,NA,,Yes,6,Yes,,6/15/2018 19:31:55,WAU
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0150.wav,The Banks of the Bann,British Isles,Love,NA,Various archives/libraries,https://www.itma.ie/digital-library/sound/banks_of_bann_eddie_butcher,,,"copyrighted, probably can't use this song",https://www.itma.ie/digital-library/sound/banks_of_bann_eddie_butcher,Irish Traditional Music Archive,0,1,0,1,0,,#REF!,stan1293,,#REF!,,Irish,Irish,germ1287,#REF!,stan1293,stan1293,yes,yes,yes,eng,No secondary function,No,,,,The lyrics made it clear to me what type of song this is,"NA //IRISH TRADITIONAL MUSIC ARCHIVE, THE BANKS OF THE BANN SONG//","NA //IRISH TRADITIONAL MUSIC ARCHIVE, THE BANKS OF THE BANN SONG//","""When first to this country a stranger I came I placed my affection on a maid that was young; She being young and tender, her waist small and slender, Kind Nature had formed her for my overthrow. 2 On the banks of the Bann there where I first beheld her She appeared like great Juno, that fair Grecian queen; Her eyes shone like diamonds or stars brightly shining, Her cheeks bloomed like roses or blood drops on snow. 3 It was her cruel parents that first caused our variance Because she was rich and above my degree, But I’ll do my endeavour to gain my love’s favour The more she is come of a rich family. 4 Had I all the money that lies in the Indies Or all the bright diamonds that’s in the queen’s store I would spend it in shining diamonds for to deck you, my darling, For there’s no other charmer on earth I adore. 5 Now since I have gained her I’ll be contented for ever, I’ll put rings on her fingers and gold in her ears, And here on the lovely banks of the bonny Bann water In all sorts of pleasure I’ll reside with my dear."" //IRISH TRADITIONAL MUSIC ARCHIVE, THE BANKS OF THE BANN SONG, RELEVANT TEXT IS IN THE LYRICS FIELD//",,Yes,4,Yes,,10/8/18 18:04,WAU
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0151.wav,Peerie Fairies,British Isles,Lullaby,"Side 2, Band 4",Folkways track download,https://folkways.si.edu/rory-and-alex-mcewen/peerie-fairies/celtic-world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/rory-and-alex-mcewen/scottish-songs-and-ballads/celtic-world/music/album/smithsonian,Smithsonian Folkways,0,1,0,1,0,,#REF!,stan1293,,#REF!,,Scottish,Scottish,germ1287,#REF!,stan1293,stan1293,yes,yes,yes,eng,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Lullaby //SMITHSONIAN FOLKWAYS, ALBUM SCOTTISH SONGG AND BALLADS SUNG BY RORY AND ALEX MCEWEN, SIDE 2 BAND 4, CATALOG NO FW06930, FW 6930//",NA,NA,,Yes,6,Yes,,5/11/18 10:25,REH
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0152.wav,The Trees are Getting High,British Isles,Mourning,"Side 1, Track 6",Folkways track download,https://folkways.si.edu/audrey-coppard/the-trees-are-getting-high/celtic-world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/audrey-coppard/english-folk-songs/celtic-world/music/album/smithsonian,Smithsonian Folkways,0,1,0,1,0,,#REF!,stan1293,,#REF!,,Surrey,English,germ1287,#REF!,stan1293,stan1293,yes,yes,yes,eng,Story,No,,,,The lyrics made it clear to me what type of song this is,"Mourning, Story //SMITHSONIAN FOLKWAYS, ALBUM NAME ENGLISH FOLK SONGS BY AUDREY COPPARD, TRACK 6, CATALOG NO FW06917, FW 6917, FP 917//","This story is traceable to the young Urquhart of Craigstone who died in 1634 //SMITHSONIAN FOLKWAYS, ALBUM NAME ENGLISH FOLK SONGS BY AUDREY COPPARD, TRACK 6, CATALOG NO FW06917, FW 6917, FP 917//","(last verse) ""At the age of thirteen he was a married man, and at the age of fourteen, the father of a son, and at the age of fifteen, his grave was growing green, and that put an end to his growing"" //SMITHSONIAN FOLKWAYS, ALBUM NAME ENGLISH FOLK SONGS BY AUDREY COPPARD, TRACK 6, CATALOG NO FW06917, FW 6917, FP 917//",,Yes,6,Yes,,5/11/18 10:02,REH
1,1,JSL,0,1,0,1,0,0,0,0,0,0,0,0,0,,got from GJ,http://media.theglobaljukebox.org/audio/T5587R10.mp3,purchase,NHS2-0153.wav,Singing Games and Rhymes,British Isles,Play,NA,CD purchase,https://www.discogs.com/sell/release/7107827?ev=rb,,$9.00,plus shipping,https://theglobaljukebox.org/?share=Bristol-T5587R10,Global Jukebox,0,1,0,1,0,,#REF!,stan1293,,#REF!,,Bristol,English,germ1287,#REF!,stan1293,stan1293,yes,yes,yes,eng,No secondary function,No,,,,The song is identified as such in its title or label,"Children's Play Song //CODING ID 564 IN GLOBAL JUKEBOX, RELEVANT INFO FOUND IN DESCRIPTION//",NA,NA,,Yes,5,Yes,,1/10/18 9:34,REH
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NHS2-0154.wav,Johnny Todd,British Isles,Play,"Side 1, Track 2",Folkways track download,https://folkways.si.edu/audrey-coppard/johnny-todd/celtic-world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/audrey-coppard/english-folk-songs/celtic-world/music/album/smithsonian,Smithsonian Folkways,1,1,0,0,1,IE,#REF!,stan1293,,#REF!,,"Lancashire, Liverpool",English,germ1287,#REF!,stan1293,stan1293,yes,yes,yes,eng,cautionary tale about love,No,,,,The song is identified as such in its title or label,"Play //SMITHSONIAN FOLKWAYS, CD HAS LINER NOTES W LYRICS, THIS SONG CAN BE FOUND ON PG 5, CATALOG NO FW06917, FW 6917, FP 917//","""Lancashire, 19th century. This is a children's skipping song from Liverpool"" //SMITHSONIAN FOLKWAYS, CATALOG NO FW06917, FW 6917, FP 917//",NA,,Yes,6,Yes,,5/11/18 9:47,REH
1,1,LGY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"Alt name ""Rhymes Medley""",NHS2-0155.wav,My Mother Says I Never Should,British Isles,Play,NA,Folkways track download,https://folkways.si.edu/elliot-family/rhymes-medley/world/music/track/smithsonian,,$1.49,,https://theglobaljukebox.org/?share=Durham-T5545R10,Global Jukebox,0,1,0,1,0,,#REF!,stan1293,,#REF!,,Durham,English,germ1287,#REF!,stan1293,stan1293,yes,yes,yes,eng,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","nursery rhyme; game song //CODING ID 2311 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","""nursery rhyme generally used with hand warming or a hand clapping game"" //CODING ID 2311 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,6/28/2018 13:54:45,WAU
