included in sample,include_comment,type,family_name,language,dialect,level,culture listed?,culture,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,notes,iso,song_name,url,song_tracknum,source,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
0,,Procession,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Azar,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 12,Garland Encyclopedia of World Music,Funeral,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Funeral song //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 11//",NA,,Yes,5,Yes,,6/8/18 15:37,AZX
1,,Procession,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Azar,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 13,Garland Encyclopedia of World Music,Horse races,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"1. Ritual song at the horse races //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 11// 2. Azar is also the name of a quite different song that is performed before horse races //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 6//",NA,,Yes,5,Yes,,6/8/18 15:43,AZX
0,,Procession,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Wedding song,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 22,Garland Encyclopedia of World Music,Wedding,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Wedding song //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 11, TITLE OF SONG 22//","Ritual song melody //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 11, DESCRIPTION OF SONG 22//",NA,,Yes,4,Yes,,6/8/18 16:22,AZX
1,,Procession,Abkhaz-Adyge,abkh1244,,language,,Abkhazians,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Wedding Song,https://theglobaljukebox.org/?share=Abkhazia-T5413R01,NA,Global Jukebox,Wedding,No,,,,The song is identified as such in its title or label,Genre: Wedding song //CODING ID 4155 IN GLOBAL JUKEBOX//,NA,NA,,Yes,6,Yes,,1/8/18 18:48,AZX
0,,Story,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Zhan Achba,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 14,Garland Encyclopedia of World Music,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"This is a very special song about a blind singer who was persecuted for his satirical songs. This person did exist in reality. He died in 1916. //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 6//",NA,,Yes,6,Yes,,6/8/18 15:54,AZX
1,,Story,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Aiba Huita,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 15,Garland Encyclopedia of World Music,Praise,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The song ""Aiba Huita"" [15] is about the death of a hero who took revenge over the death of this beloved son but perished in this fight. //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 6//",NA,,Yes,6,Yes,,6/8/18 15:57,AZX
1,,Story,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Narts,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 20,Garland Encyclopedia of World Music,Praise,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The original song about the Narts [20], performed here on achirpan, tells the story: ""In old times there lived people, called 'the great Narts'...The heroic deeds of the Narts are still remembered now"". //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 7 & 8//",NA,,Yes,2,Yes,,6/8/18 16:18,AZX
1,,Work,Abkhaz-Adyge,abkh1244,,language,,Abkhazia,Caucasus,,abkh1242,abkh1244,abkh1244,yes,yes,yes,,abk,Auardin,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cliner_notes%7C2258560,Track 5,Garland Encyclopedia of World Music,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Working song //ON ALEXANDER STREET, IN THE LINER NOTE OF THE ALBUM: The Golden Fleece - Caucasus, Vol. 2: Songs From Abkhazia & Adzharia, PAGE 10//",NA,,Yes,6,Yes,,6/8/18 15:26,AZX
0,,Dance,Afro-Asiatic,arab1395,,family,,"Dervish, Sufi",Southeastern Europe,,afro1255,nucl1301,arab1395,no,no,no,,tur,Ode by Ahmad al-'Alawi,https://theglobaljukebox.org/?share=Dervish-T5483R23,"Disc 1, Track 5","Global Jukebox, Smithsonian Folkways",Religious,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Religious Song// GLOBAL JUKEBOX, CODING ID 994 //","Ode by Ahmad Al-'Alawi, opening with the Shahadah, that is the ritual formula La ilaha illa' Llah (d. 1934), repeated here 3 times, Muhammadun rasulu Llah, Islamic Liturgy: Song and Dance at a Meeting of Dervishes. // GLOBAL JUKEBOX, CODING ID 994 //",NA,,Yes,6,Yes,,6/13/2018 18:41:02,JCVL
0,,Dance,Afro-Asiatic,arab1395,,family,,"Dervish, Turkey",Southeastern Europe,,afro1255,nucl1301,arab1395,no,no,no,,tur,End of the Tarhib/ Invocation of the Divine Name/ The Sacred Dance,https://theglobaljukebox.org/?share=Dervish-T5483R26,"Disc 1, Track 15","Global Jukebox, Smithsonian Folkways",No secondary function,No,,,,The song is identified as such in its title or label,Religious song; Quranic text//GLOBAL JUKEBOX CODING: 997//,"End of the Tarhib (Liturgy), Invocation of the Divine Name, The Sacred Dance, Al-Hadrah (The Presence); words of Blessing upon the Prophet; Quran, XXXIII, v. 23//GLOBAL JUKEBOX CODING: 997//",NA,,Yes,6,Yes,,6/13/2018 20:39:18,JCVL
0,,Dance,Afro-Asiatic,barz1241,,language,,Azeri Kurds (Barzani),Middle East,,afro1255,kurd1259,nort2697,no,no,no,,kur,Kurdish Folk Dance Song,http://media.theglobaljukebox.org/audio/T5482R38.mp3,NA,"Global Jukebox, Smithsonian Folkways",No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance song // CODING ID 855 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//","Genre: Dance song, Description: Kurdish dance song from Arbil // CODING ID 855 IN GLOBAL JUKEBOX //",NA,,Yes,6,Yes,,8/6/18 15:27,SHJ
0,no audible,Dance,Afro-Asiatic,barz1241,,language,,Barzani Kurd,Middle East,,afro1255,kurd1259,kurd1259,yes,yes,yes,,kur,Barzan Tribal Dance,https://folkways.si.edu/barzan-tribal-dance/islamica-world/music/track/smithsonian,"Disc 1, Track 2",Smithsonian Folkways,No secondary function,No,,,,The song is identified as such in its title or label,Barzan Tribal Dance //SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04469_102//,NA,NA,,No,1,Yes,,11/6/18 16:13,SHJ
0,,Dance,Afro-Asiatic,cent2194,,language,,Atlas Berbers: Shilha / Shluh,Northern Africa,,afro1255,cent2194,berb1260,no,yes,yes,,tzm,Dance Song,http://media.theglobaljukebox.org/audio/T40010R03.mp3,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song //GLOBAL JUKEBOX CODING ID 3295 GENRE//,Male leader in alternation with mixed chorus over bowed lute and percussion //GLOBAL JUKEBOX CODING ID 3295 DESCRIPTION//,NA,,Yes,4,Yes,,4/19/2018 11:12:26,MJW
0,no audible,Dance,Afro-Asiatic,cent2194,,language,,"Atlas Berbers: Shilha/Shluh/Chleuh, Haha tribe",Northern Africa,,afro1255,cent2194,berb1260,no,yes,yes,,tzm,Ahmeilou,http://www.worldcat.org/oclc/3100954,"Disc 1, Track 1",Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song //GLOBAL JUKEBOX CODING ID 1588 GENRE//,"//PAGE 2, ITEM 1, IN LIBRARY OF CONGRESS NOTES FOR RECORDING LABORATORY AFS L63 AND L64 https://www.loc.gov/folklife/LP/Morocco_opt.pdf//",NA,,No,3,Yes,"Global Jukebox uses the title ""Prelude and Dance"" and does not include audio.",7/5/18 12:32,MJW
0,,Dance,Afro-Asiatic,cent2194,,language,,"Atlas Berbers: Shilha/Shluh/Chleuh, Haha tribe",Northern Africa,,afro1255,cent2194,berb1260,no,yes,yes,,tzm,Ahouach of Zaouia,http://media.theglobaljukebox.org/audio/T40010R04.mp3,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song; circle dance //GLOBAL JUKEBOX CODING ID 3294 GENRE//,"Ahouach; Circle Dance; from Southern Morocco; men form circle and play bendir drums, while women shuffle in a larger circle around them //GLOBAL JUKEBOX CODING ID 3294 DESCRIPTION//",NA,,Yes,5,Yes,,7/5/18 11:54,MJW
1,,Dance,Afro-Asiatic,cent2194,,language,,"Atlas Berbers: Shilha/Shluh/Chleuh, Haha tribe",Northern Africa,,afro1255,cent2194,berb1260,no,yes,yes,,tzm,Ahouach Ded Ida,http://media.theglobaljukebox.org/audio/T40010R01.mp3,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song; circle dance //GLOBAL JUKEBOX CODING ID 3297 GENRE//,"Ahouach; Circle Dance; from Southern Morocco; men form circle and play bendir drums, while women shuffle in a larger circle around them //GLOBAL JUKEBOX CODING ID 3297 DESCRIPTION//",NA,,Yes,3,Yes,,7/5/18 11:58,MJW
0,,Dance,Afro-Asiatic,cent2194,,language,,"Atlas Berbers: Shilha/Shluh/Chleuh, Haha tribe",Northern Africa,,afro1255,cent2194,berb1260,no,yes,yes,,tzm,Antiphonal song,http://media.theglobaljukebox.org/audio/T40031R02.mp3,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song //GLOBAL JUKEBOX CODING ID 3290 GENRE//,Women dance and sing around the circle of male drummers //GLOBAL JUKEBOX CODING ID 3290 DESCRIPTION//,NA,,Yes,4,Yes,,7/5/18 12:01,MJW
0,,Dance,Afro-Asiatic,cent2194,,language,,"Atlas Berbers: Shilha/Shluh/Chleuh, Haha tribe",Northern Africa,,afro1255,cent2194,berb1260,no,yes,yes,,tzm,Great Ahouach of Telouet,http://media.theglobaljukebox.org/audio/T40030R01.mp3,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song; festival song //GLOBAL JUKEBOX CODING ID 3293 GENRE//,Festival dance //GLOBAL JUKEBOX CODING ID 3293 DESCRIPTION//,NA,,Yes,4,Yes,,7/5/18 12:04,MJW
0,,Dance,Afro-Asiatic,cent2194,,language,,Morocco Berbers,Northern Africa,,afro1255,cent2194,riff1234,no,yes,yes,,tzm,Line Dance,http://media.theglobaljukebox.org/audio/T5521R51.mp3,NA,Global Jukebox,No secondary function,No,,,,The song is identified as such in its title or label,Dance song; line dance //GLOBAL JUKEBOX CODING ID 9247 GENRE//,NA,NA,,Yes,4,Yes,,4/19/2018 11:16:06,MJW
0,,Dance,Afro-Asiatic,gour1247,,dialect,,Gourara,Northern Africa,,afro1255,gour1247,berb1260,no,yes,yes,,,Dance with qarqabou,http://www.worldcat.org/oclc/34555452,Track 7,NHS 1.0,,No,,,,,6,6,NA,,,,,,1/2/18 18:04,SDA
1,,Dance,Afro-Asiatic,soma1255,nort3051,language,,Ajuran,Eastern Africa,,afro1255,nort3051,soma1255,no,yes,yes,,,Camel Song and Dance,https://theglobaljukebox.org/?share=Ajuran-T5561R03,NA,"Global Jukebox, Library of Congress",Camel song,No,,,,The song is identified as such in its title or label,"Dance song //GLOBAL JUKEBOX, CODING ID 9975, AUDIO FILE ID T5561R03//",NA,NA,Global Jukebox-->Wheel-->East Africa/East African Horn/Omotic Peoples-->Ajuran-->Camel Song and Dance,Yes,5,Yes,,5/2/18 13:29,ERA
1,,Dance,Afro-Asiatic,sida1246,,language,,"Sidama, Sidamo",Eastern Africa,,afro1255,sida1246,sida1246,yes,yes,yes,,sid,Maji Dance Music,https://theglobaljukebox.org/?share=Sidama-T5553R13,NA,"Global Jukebox, CREM, Library of Congress",Feast Song,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance Song //GLOBAL JUKEBOX, CULT: SIDAMA, AUDIO FILE ID T5553R13//","Dance song; two-part polyphonic music performed at a feast, hocketing, yodel. //GLOBAL JUKEBOX, CODING ID 9428//",NA,Global Jukebox-->Wheel-->East Africa/East African Horn/Highland E. Cushites-->Sidama-->Maji Dance Music,Yes,6,Yes,,5/2/18 12:22,ERA
1,,Dance,Afro-Asiatic,suda1236,,language,,Bederiya (subset of Baggara/Hemat?),Eastern Africa,,afro1255,bath1248,.,no,.,.,,,Merdum Song,https://theglobaljukebox.org/?share=Bederiya-T5625R09m,NA,Global Jukebox,Dance,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Merdum Song //GLOBAL JUKEBOX, CODING ID 4211, SONG FIELD//","Genre: Dance song; Description: Dance with chorus //GLOBAL JUKEBOX, CODING ID 4211//",NA,click on green checklist or song title in lower right corner,Yes,5,Yes,,4/16/2018 12:22:14,MJW
0,,Dance,Afro-Asiatic,tuar1240,,family,,Tuareg,Northern Africa,,afro1255,tuar1240,tuar1240,yes,yes,yes,,tmh,Tohimo Dance,http://media.theglobaljukebox.org/audio/T45022.mp3,NA,Global Jukebox,No secondary function,No,,,,The song is identified as such in its title or label,Dance song //GLOBAL JUKEBOX CODING ID 955 GENRE//,NA,NA,,Yes,4,Yes,,4/19/2018 11:20:29,MJW
0,,Dance,Afro-Asiatic,tuar1240,,family,,Tuareg (Morocco Berbers),Northern Africa,,afro1255,hogg1238,stan1290,no,no,no,,,Suite de ghedras de Goulimine,http://www.worldcat.org/oclc/61711547,Side B,"Global Jukebox, Alan Lomax Collection",Ritual,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Ritual song; dance song; religious song; trance song //GLOBAL JUKEBOX CODING ID 9602 GENRE//,"The guedra ritual dance serves as a blessing for friends or married people or to the community, or to submit the self to God; hypnotic and increasingly frenzied dance performed by solo female //GLOBAL JUKEBOX CODING ID 9602 DESCRIPTION//",NA,"Listed in WorldCat as four tracks: Ghedra douce, Ghedra syncopee, Ghedra endiablee, Ghedra passionnee.",Yes,4,Yes,Audio not available on Global Jukebox.,7/5/18 10:52,MJW
1,,Healing,Afro-Asiatic,amha1245,,language,,Amhara,Eastern Africa,,afro1255,amha1245,amha1245,yes,yes,yes,,amh,My Medicine,https://theglobaljukebox.org/?share=Amhara-T5596R07,NA,"Global Jukebox, Library of Congress",No secondary function,No,,,,The song is identified as such in its title or label,"Healing song //GLOBAL JUKEBOX, CODING ID 3452, AUDIO FILE ID T5596R07//",NA,NA,Global Jukebox-->Wheel-->East Africa/Highland Ethiopia/Ethiopian Semites-->Amhara-->My Medicine,Yes,4,Yes,,5/2/18 13:40,ERA
0,,Healing,Afro-Asiatic,amha1245,,language,,Amhara,Eastern Africa,,afro1255,amha1245,amha1245,yes,yes,yes,,amh,My Medicine 2,https://theglobaljukebox.org/?share=Amhara-T5596R08,NA,Global Jukebox,Medicine song,No,,,,The song is identified as such in its title or label,"Healing Song //GLOBAL JUKEBOX, MY MEDICINE 2, CODING ID 3453, AUDIO FILE ID T5596R08//",NA,NA,Global Jukebox-->Wheel-->East Africa/Highland Ethiopia/Ethiopian Semites-->Amhara-->My Medicine 2,Yes,6,Yes,,6/2/18 17:19,ERA
1,,Healing,Afro-Asiatic,jude1265,,language,,Gnawa,Northern Africa,,afro1255,.,arab1395,no,.,.,,#N/A,Fatha,http://www.worldcat.org/oclc/25457764,"Side A, Band 3",WorldCat,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The remaining Band 4 [should be 3] contains Fatha, a prayer, since the Gnawas, in addition to providing entertainment through their music and dance on the streets of towns and villages, possess magical power to cure certain diseases and mental disorders. //ETHNOMUSICOLOGY, VOL 19 NO 1, PAGE 155, RECORD REVIEW http://www.jstor.org.ezp-prod1.hul.harvard.edu/stable/849760//",NA,,,,No,,11/5/18 13:40,MJW
