notes,filename,song_name,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,comments,type,family_name,language,dialect,level,culture listed?,culture,culture standardized,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
"Instrumental, no singing. Harvard not included in the list for ""this item is accessible for UK Higher Education and Further Education institutions only"". BC is on there, as well as several other unis...maybe a collaborator or friend can help us?",NHS2-1273.wav,Laylati,NA,British Library,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0003XX-0100V0,,,,https://sounds.bl.uk/World-and-traditional-music/Nicholas-Pierce-Balochistan/025M-C0140X0003XX-0100V0,British Library,0,1,,Work,Indo-European,sout2642,,language,,Baluchi,Baluchi,South Asia,indo1320,indo1319,indo1320,sira1271,no,no,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Laylati //CODING ID C140/3 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE TITLE//","Traditional tunes of Balochi goat herders //CODING ID C140/3 IN BRITISH LIBRARY, RELEVANT TEXT IS IN THE DESCRIPTION//",NA,,,,No,,8/22/2018 15:31:18,NLR
"can't find reasonably priced CD, all online resources elsewhere. BUT this CD looks like it's a classical performance, and probably should not have been included",NHS2-0471.wav,At The Corner of The Sky: Song of an Initiate (Huichol) -- Fervently (00:02:56),NA,CD purchase,https://www.amazon.com/Other-Voices-Vocal-Works-Wilson/dp/B004KRPG08/ref=sr_1_fkmr0_1?keywords=other+voices%3A+blank%2C+smit%2C+wilson&qid=1576169342&s=dmusic&sr=8-1-fkmr0,,$16.98,Cost includes $3.99 for shipping,http://www.worldcat.org/title/other-voices/oclc/1018457081&referer=brief_results,WorldCat,0,1,,Procession,Uto-Aztecan,huic1243,,language,,Huichol,Huichol,Central Mexico,,utoa1244,huic1243,huic1243,yes,yes,yes,hch,The type of event that the procession is associated with is an initiation,No,,,,The song is identified as such in its title or label,Procession Song// TITLE IN WORLDCAT//,NA,NA,,,,No,,8/28/2018 13:22:22,JAY
"Looks like it's orchestral. Tracked down CD 7479 from another song (""Passo pel prat""), but can not confirm that this CD has a song called ""Lullaby"" on it. Closest is ""pour l'enfant"". Compare with gofileme song.",NHS2-1708.wav,Lullaby,12,CD purchase,https://www.amazon.com/Canteloube-Songs-Auvergne-Chants-DAuvergne/dp/B00000DSED/ref=sr_1_14?keywords=Canteloube%3A+Chants+d%27Auvergne&qid=1579631371&s=music&sr=1-14,,$15.40,,http://gofile.me/3T2hs/bRdqoJdZF,"WorldCat, McGill Music library",0,1,,Lullaby,Indo-European,stan1290,,language,,Auvergne,French,Western Europe,ital1284,indo1319,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is",Lullaby //CD 7479 MCGILL MUSIC LIBRARY; INFO IN LINER NOTES//,NA,"""sleep, come to the child [...] sleep come now. Here it is. Here it comes, and the child is falling asleep . . . ah!""",,Yes,6,Yes,,########,KVL
"Looks like it's orchestral. Tracked down CD 7479 from another song (""Passo pel prat""), but can not confirm that this CD has a song called ""Lullaby"" on it. Closest is ""pour l'enfant"". Compare with gofileme song.",NHS2-1709.wav,LULLABY,16,CD purchase,https://www.amazon.com/Canteloube-Songs-Auvergne-Chants-DAuvergne/dp/B00000DSED/ref=sr_1_14?keywords=Canteloube%3A+Chants+d%27Auvergne&qid=1579631371&s=music&sr=1-14,,$15.40,,http://gofile.me/3T2hs/OuqnXT3KC,"WorldCat, Mcgill Music Library",0,1,,Lullaby,Indo-European,stan1290,,language,,Auvergne,French,Western Europe,ital1284,indo1319,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby //CD 7479 MCGILL MUSIC LIBRARY; INFO IN LINER NOTES//,NA,NA,,Yes,6,Yes,,########,KVL
"Looks like it's orchestral. Can not confirm link is to correct album, but fairly certain",NHS2-1711.wav,The Cuckoo,19,CD purchase,https://www.amazon.com/Canteloube-Songs-Auvergne-Chants-DAuvergne/dp/B00000DSED/ref=sr_1_14?keywords=Canteloube%3A+Chants+d%27Auvergne&qid=1579631371&s=music&sr=1-14,,$15.40,,http://gofile.me/3T2hs/X4Eh0c606,"WorldCat, Mcgill Music library",0,1,,Praise,Indo-European,stan1290,,language,,Auvergne,French,Western Europe,ital1284,indo1319,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,The lyrics made it clear to me what type of song this is,NA,NA,"""The cuckoo is a lovely bird, there is nothing more beautiful than a cuckoo when it is singing [... ] tell me? Haven't you heard the cuckoo sing?",,Yes,6,Yes,,########,KVL
Looks like it's orchestral.,NHS2-1704.wav,Passo Pel Prat,NA,CD purchase,https://www.discogs.com/sell/list?master_id=427492&ev=mb&format=CD,,$15.00,,http://gofile.me/3T2hs/Fgfwtj7h4,Mcgill Music library,0,1,,Love,Indo-European,stan1290,,language,,Auvergne,French,Western Europe,ital1284,indo1319,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,The lyrics made it clear to me what type of song this is,NA,NA,"""""[...] we will talk, the two of us. Your love for me, pretty one is what brings me happiness"" //CD 7479 AT MCGILL MUSIC LIBRARY; INFO IN LINER NOTES//",,Yes,5,Yes,,########,KVL
"no audio file; LGY: CREM links to a Latin Crooners album, but the NHS2 corpus info says this song should be a lullaby. Not enough pieces of the puzzle to figure out what the right song is. (Crooners CD available at https://www.amazon.co.uk/Crooners-Sentimental-1930-1949-Argentine-Mexique/dp/B0049WMJWM)",NHS2-0493.wav,Has no title,"Disc 1 , Track 1",CREM,https://archives.crem-cnrs.fr/archives/items/11889/,,,No audio at CREM link,https://archives.crem-cnrs.fr/archives/items/11889/,CREM,0,1,,Lullaby,Indo-European,stan1288,,language,,Mexican,Mexican,Central Mexico,ital1284,indo1319,stan1288,.,no,.,.,spa,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby//CODING ID CNRSMH_E_2000_021_008 IN CREM//,NA,NA,,,,No,,7/23/2018 18:13:19,JAY
"can not be acquired from CREM, can't track down on GJ",NHS2-1583.wav,Mythe De Krin-Lune,Item number 16-02,CREM,https://archives.crem-cnrs.fr/archives/items/1635/,,,,https://archives.crem-cnrs.fr/archives/items/1635/,CREM,1,0,,Story,Chonan,onaa1245,,language,,Ona,Selk'nam,Southern South America,,chon1288,onaa1245,onaa1245,yes,yes,yes,ona,No secondary function,No,,,,The song is identified as such in its title or label,"Myth //CODE BM.1968.039.001/24:16-02 IN CREM, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,,,No,,########,SSG
"can not be acquired from CREM, can't track down on GJ",NHS2-1584.wav,Lola Raconte le Mythe de Yoshikaiutl,Item number 16-13,CREM,https://archives.crem-cnrs.fr/archives/items/1646/,,,,https://archives.crem-cnrs.fr/archives/items/1646/,CREM,1,0,,Story,Chonan,onaa1245,,language,,Ona,Selk'nam,Southern South America,,chon1288,onaa1245,onaa1245,yes,yes,yes,ona,No secondary function,No,,,,The song is identified as such in its title or label,"Myth //CODE BM.1968.039.001/24:16-13 IN CREM, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,,,No,,########,SSG
"song appears to be incorrect, original source appears to be a music score",NHS2-0478.wav,Arrullo de muerte,NA,Direct download (non-Folkways,https://www.amazon.com/Flores-del-Viento-2013-Version/dp/B07T2PFWVL/ref=sr_1_3?keywords=Flores+del+viento+III&qid=1584478577&s=dmusic&sr=1-3,,$0.99,,http://www.worldcat.org/title/flores-del-viento-iii/oclc/948209748&referer=brief_results,WorldCat,1,0,,Lullaby,Otomanguean,mezq1235,,language,,Otomi,Otomi,Central Mexico,,otom1299,mezq1235,mezq1235,yes,yes,yes,ote,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby Song// TITLE IN WORLDCAT//,NA,NA,The hyperlink provides a link to the material where the song can be found,,,No,,########,JAY
repeat of 1479,NHS2-1480.wav,Tisankhe lero,NA,Direct download (non-Folkways,,,,,http://greenstone.ilam.ru.ac.za/collect/ilam/index/assoc/D9903.dir/TR190-09.mp3,ILAM,0,1,,Play,Atlantic-Congo,nyan1308,,language,,Nyanja,Nyanja,Southern Africa,bant1294,atla1278,nucl1395,nyan1308,no,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Singing games ; Indigenous Music ; Folk ; Clapping //ILAM IDENTIFIER TR190-09, KEYWORDS//","Translated English title - ""Choose now"". Further details refer to ILAM field card number: DX - 12a. //ILAM IDENTIFIER TR190-09, DESCRIPTION//",NA,,Yes,6,Yes,,5/22/2018 12:13:09,AMB
repeat of 0355,NHS2-0354.wav,Lullaby,"Disc 1, Track 32",Folkways track download,https://folkways.si.edu/louisa-sera-chompi/lullaby/american-indian-world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/louisa-sera-chompi/lullaby/american-indian-world/music/track/smithsonian,"Global Jukebox, Smithsonian Folkways",1,0,,Lullaby,Quechuan,cusc1236,,language,,Runa; Q'ero; Quechua,Q'ero,Central Andes,,quec1387,.,quec1382,no,.,.,#N/A,No secondary function,No,http://www.folkways.si.edu/TrackDetails.aspx?itemid=28670,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Lullaby (//CODING ID 2495 IN GLOBAL JUKEBOX IN THE SONG TITLE FIELD),"Lullaby; chi chi chi wawa (baby), that you might learn to work the potatoes, young one (//CODING ID 2495 IN GLOBAL JUKEBOX IN THE DESCRIPTION FIELD)",NA,,Yes,6,Yes,,8/17/2018 23:45:56,AMM
repeat of 0343,NHS2-0367.wav,Lullaby (One Woman),"Disc 1, Track 17",Folkways track download,http://www.folkways.si.edu/TrackDetails.aspx?itemid=33643,,$0.99,,https://folkways.si.edu/lullaby-one-woman/american-indian-world/music/track/smithsonian,Global Jukebox,1,0,,Lullaby,Aymaran,tupe1234,,family,,Aymara,Aymara,Central Andes,,ayma1253,ayma1253,ayma1253,yes,yes,yes,this is as specific as I can go without guessing,No secondary function,No,http://www.folkways.si.edu/TrackDetails.aspx?itemid=33643,,,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is",Lullaby,"Lullaby; lyrics: If your father is getting drunk he'll come and beat us up, so go to sleep my little girl, I'll cover you with my blanket, go to sleep //GLOBAL JUKEBOX//","If your father is getting drunk he'll come and beat us up, so go to sleep my little girl, I'll cover you with my blanket, go to sleep",,Yes,6,Yes,,########,AMM
appears to be poetry,NHS2-0435.wav,Spells and Charms: Flower Feast Song (Aztec),Track 10,Folkways track download,https://folkways.si.edu/spells-and-charms-flower-feast-song-aztec/poetry/track/smithsonian,,$0.99,,https://folkways.si.edu/spells-and-charms-flower-feast-song-aztec/poetry/track/smithsonian,Smithsonian Folkways,1,1,uto,Praise,Uto-Aztecan,azte1234,,family,,Aztecs,Aztec,Central Mexico,,utoa1244,clas1250,azte1237,no,unknown,unknown,nci,No secondary function,No,,,,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is","Praise Song//FOLKWAYS CATALOGUE # FW09802_110, LINER NOTES PAGE 4-5//",NA,"I seek flowers. I offer flowers. I arrange flowers. I thread a flower. I make flowers. I form them to be extending, uneven rounded, round bouquets of flowers //FOLKWAYS CATALOGUE # FW09802_110, LINER NOTES PAGE 4-5//",Link to Linear Notes: https://folkways-media.si.edu/liner_notes/folkways/FW09802.pdf,Yes,6,Yes,,########,JAY
"instrumental only, not sung",NHS2-0439.wav,Ayakachmitotia'-Rattle Dances: Koatl,Track 5,Folkways track download,https://folkways.si.edu/aztec-violinist-guitarist-male-dancers-with-rattles/ayakachmitotia-rattle-dances-koatl/american-indian-sacred-world/music/track/smithsonian,,$1.49,,https://folkways.si.edu/aztec-violinist-guitarist-male-dancers-with-rattles/ayakachmitotia-rattle-dances-koatl/american-indian-sacred-world/music/track/smithsonian,Smithsonian Folkways,0,1,,Dance,Uto-Aztecan,clas1250,,language,,Aztecs,Aztec,Central Mexico,,utoa1244,clas1250,azte1234,no,yes,yes,nci,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance Song//FOLKWAYS CATALOGUE # FW04358_202, LINER NOTES PAGE 7//","Koatl means snake in Nahuatl and is unusual in format from the other dances recorded here since the two parallel lines, the hallmark of the rattIe dances, are combined into one long line that symbolically imitates the movements of a snake as it proceeds back and forth in front of the image of Tonantsi//FOLKWAYS CATALOGUE # FW04358_202, LINER NOTES PAGE 7//",NA,Link to Linear Notes: https://folkways-media.si.edu/liner_notes/folkways/FW04358.pdf,,1,Yes,Only subsection of song (30 seconds) is available,########,JAY
"instrumental only, not sung",NHS2-0440.wav,Ayakachmitotia'-Rattle Dances: Ehtokani',Track 6,Folkways track download,https://folkways.si.edu/aztec-violinist-guitarist-male-dancers-with-rattles/ayakachmitotia-rattle-dances-ehtokani/american-indian-sacred-world/music/track/smithsonian,,$1.49,,https://folkways.si.edu/aztec-violinist-guitarist-male-dancers-with-rattles/ayakachmitotia-rattle-dances-ehtokani/american-indian-sacred-world/music/track/smithsonian,Smithsonian Folkways,0,1,,Dance,Uto-Aztecan,clas1250,,language,,Aztecs,Aztec,Central Mexico,,utoa1244,clas1250,azte1234,no,yes,yes,nci,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Dance Song//FOLKWAYS CATALOGUE # FW04358_203, LINER NOTES PAGE 7//","Ehtokani'is more typical of the rattle dances in general//FOLKWAYS CATALOGUE # FW04358_203, LINER NOTES PAGE 7//",NA,Link to Linear Notes: https://folkways-media.si.edu/liner_notes/folkways/FW04358.pdf,,1,Yes,Only subsection of song (30 seconds) is available,########,JAY
duplicate,NHS2-0527.wav,Chang Choon Pool Lo Chi Kog,NA,Folkways track download,https://folkways.si.edu/chang-choon-pool-lo-chi-kog-ah-ahk/world/music/track/smithsonian,,$0.99,,http://media.theglobaljukebox.org/audio/T5528R02.mp3,"Global Jukebox, Smithsonian Folkways",,,repeat of above,Praise,Koreanic,kore1280,,language,,Korean,Korean,East Asia,,kore1284,kore1280,kore1280,yes,yes,yes,kor,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Court music; song about leadership; praise song //CODING ID 8018 ON GLOBAL JUKEBOX,Court music honoring King Sejong of the Ye Dynasty //CODING ID 8018 ON GLOBAL JUKEBOX,NA //CODING ID 8018 ON GLOBAL JUKEBOX,,Yes,5,Yes,,########,MAK
"Duplicate; can't find track, possibly part of NHS2-0736?",NHS2-0737.wav,"Two old men singing, later in the same procession",102,Folkways track download,,,,"Duplicate of row above song ""Two Old Men Singing in Procession""",https://folkways.si.edu/music-of-guatemala-vol-2/american-indian-latin-world/album/smithsonian,Smithsonian Folkways,1,0,,Procession,Mayan,ixil1251,,language,,Ixil (not in HRAF),Ixil,Maya Area,,maya1287,ixil1251,ixil1251,yes,yes,yes,ixl,Fiesta de Nuestra Senora de Los Angeles,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Two old men singing, later in the same procession. //CATALOG NUMBER FW04213 / FE 4213 IN SMITHSONIAN FOLKWAYS, RELEVANT TEXT IN TRACK TITLE//","Circumstance of recording: Fiesta de Nuestra Senora De Los Angeles //CATALOG NUMBER FW04213 / FE 4213 IN SMITHSONIAN FOLKWAYS, RELEVANT TEXT IN LINER NOTES//",NA,,Yes,6,Yes,,########,SAT
repeat of 0885 - anotator and GJ both refer to one Suleimaniya love song but relevant cd actually has two. Could replace this track with second one.,NHS2-0889.wav,Sulaimaniya Love Song,NA,Folkways track download,https://folkways.si.edu/sulaimaniya-love-song/islamica-world/music/track/smithsonian,,$0.99,repeated above,http://media.theglobaljukebox.org/audio/T5482R42.mp3,"Global Jukebox, Smithsonian Folkways",0,1,,Love,Indo-European,cent1972,,language,,Azeri Kurds (Barzani),Kurdish,Middle East,indo1320,indo1319,kurd1259,nort2697,no,no,no,kur,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Love song // CODING ID 1038 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",Description: Love song from the Sulaimaniya area of Iraq // CODING ID 1038 IN GLOBAL JUKEBOX //,NA,,Yes,6,Yes,,########,SHJ
"repeat of ""Song of Valor"" (checked in liner notes)",NHS2-0900.wav,Rusho,NA,Folkways track download,https://folkways.si.edu/song-of-valor/islamica-world/music/track/smithsonian,,$0.99,,http://media.theglobaljukebox.org/audio/T5482R37.mp3,"Global Jukebox, Smithsonian Folkways",0,1,,Story,Indo-European,nort2641,,language,,Azeri Kurds,Kurdish,Middle East,indo1320,indo1319,kurd1259,nort2697,no,no,no,kur,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Topical song // CODING ID 2529 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//","Description: Song describes Rusho, a strong man well known for valor // CODING ID 2529 IN GLOBAL JUKEBOX //",NA,,Yes,6,Yes,,########,SHJ
repeat,NHS2-0938.wav,Excerpt from shamanic healing ritual,"Disc 1, Track 25",Folkways track download,https://folkways.si.edu/alexander-davakai/excerpt-from-shamanic-healing-ritual/world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/alexander-davakai/excerpt-from-shamanic-healing-ritual/world/music/track/smithsonian,Smithsonian Folkways,1,0,,Healing,Turkic,tuvi1240,,language,,Tuva (not in HRAF),Tuvan,North Asia,,turk1311,tuvi1240,tuvi1240,yes,yes,yes,tyv,No secondary function,No,,,,The song is identified as such in its title or label,NA,NA,NA,,Yes,4,Yes,Only very short vocals during the beginning and end of the excerpt,4/29/2018 8:52:47,PKH
"repeat of ""Squash dance""",NHS2-0983.wav,Huichol - Squash Dance,Track 10,Folkways track download,https://folkways.si.edu/huichol-singers-drummer/huichol-squash-dance/american-indian-world/music/track/smithsonian,,$0.99,,http://www.worldcat.org/oclc/862959234,Smithsonian Folkways,0,1,,Work,Uto-Aztecan,huic1243,,language,,Huichol,Huichol,Northern Mexico,,utoa1244,huic1243,huic1243,yes,yes,yes,hch,Dance,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Singing and dancing, an important fiesta to celebrate the ripening of the fruits' //IN LINER NOTES FROM PDF PAGE 6: https://folkways-media.si.edu/liner_notes/folkways/FW04413.pdf //",NA,,Yes,3,Yes,,7/23/2018 18:41:14,LOT
repeat,NHS2-1051.wav,El Patio de Mi casa,"Side 1, Band 7a",Folkways track download,https://folkways.si.edu/el-patio-de-mi-casa/tengo-una-muneca/childrens-latin-world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/childrens-songs-and-games-from-ecuador-mexico-and-puerto-rico/latin-world/music/album/smithsonian,Smithsonian Folkways,0,1,,Play,Indo-European,stan1288,,language,,Ecuador,Ecuadoran,Northwestern South America,ital1284,indo1319,stan1288,stan1288,yes,yes,yes,spa,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""El Patio de Mi Casa""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways","""Circle Game""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways",NA,,Yes,6,Yes,,11/13/2018 14:30:08,NLC
